"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Available","Backorder","Unit Price","Extended Price EUR"
"1","5","PTV09A-4020F-B203-ND","PTV09A-4020F-B203","POT 20K OHM 1/20W CARBON LINEAR","","5","0","0,75000","3,75"
"2","5","PTV09A-4020F-B503-ND","PTV09A-4020F-B503","POT 50K OHM 1/20W CARBON LINEAR","","5","0","0,75000","3,75"
"3","3","EG5492-ND","FS57003PLT2B2M2QE","SWITCH PUSHBUTTON 3PDT 1A 9V","","3","0","7,32000","21,96"
"4","3","296-35279-1-ND","LM4562MAX/NOPB","IC AUDIO 2 CIRCUIT 8SOIC","","3","0","1,45000","4,35"
"5","100","311-10.0KHRCT-ND","RC0603FR-0710KL","RES SMD 10K OHM 1% 1/10W 0603","","100","0","0,00780","0,78"
"6","20","399-8000-1-ND","C0805C104M3RACTU","CAP CER 0.1UF 25V X7R 0805","","20","0","0,06400","1,28"
"7","100","311-1.00KHRCT-ND","RC0603FR-071KL","RES SMD 1K OHM 1% 1/10W 0603","","100","0","0,00800","0,80"
"8","20","1276-6471-1-ND","CL21B105KOFNNNG","CAP CER 1UF 16V X7R 0805","","20","0","0,04300","0,86"
"9","100","311-511KHRCT-ND","RC0603FR-07511KL","RES SMD 511K OHM 1% 1/10W 0603","","100","0","0,00850","0,85"
"10","5","718-2502-1-ND","TMCP1D224MTRF","CAP TANT 0.22UF 20% 20V 0805","","5","0","0,33000","1,65"
"11","100","311-4.70KHRCT-ND","RC0603FR-074K7L","RES SMD 4.7K OHM 1% 1/10W 0603","","100","0","0,00850","0,85"
"12","10","1N4148WXTPMSCT-ND","1N4148WX-TP","DIODE GEN PURP 75V 150MA SOD323","","10","0","0,08300","0,83"
"13","6","1514-2N2222APBFREE-ND","2N2222A PBFREE","TRANS NPN 40V 0.8A TO-18","","6","0","2,12000","12,72"
"14","10","889-1818-ND","ACJS-MHOM","CONN JACK STEREO 1/4"" R/A","","10","0","0,97900","9,79"
"15","10","1276-2527-1-ND","CL21B473KBANNNC","CAP CER 0.047UF 50V X7R 0805","","10","0","0,04900","0,49"
"16","10","1276-2670-1-ND","CL21C510JBANNNC","CAP CER 51PF 50V C0G/NP0 0805","","10","0","0,04800","0,48"
"17","5","399-11392-1-ND","T495C107K016ATE200","CAP TANT 100UF 10% 16V 2312","","5","0","1,52000","7,60"
"18","10","399-1163-1-ND","C0805C223K5RACTU","CAP CER 0.022UF 50V X7R 0805","","10","0","0,05400","0,54"
"19","5","478-10743-1-ND","TAJA106K016RNJV","CAP TANT 10UF 10% 16V 1206","","0","5","0,28000","1,40"
"20","5","718-2387-1-ND","TMCMA1A476MTRF","CAP TANT 47UF 20% 10V 1206","","5","0","0,51000","2,55"
"21","100","311-100HRCT-ND","RC0603FR-07100RL","RES SMD 100 OHM 1% 1/10W 0603","","100","0","0,00760","0,76"
"22","100","311-220HRCT-ND","RC0603FR-07220RL","RES SMD 220 OHM 1% 1/10W 0603","","100","0","0,00850","0,85"
"23","100","YAG3616CT-ND","AC0603FR-0751KL","RES SMD 51K OHM 1% 1/10W 0603","","100","0","0,01020","1,02"
"24","5","732-4989-1-ND","150120BS75000","LED BLUE CLEAR 1206 SMD","","5","0","0,20000","1,00"
"25","5","PTV09A-4020F-A504-ND","PTV09A-4020F-A504","POT 500K OHM 1/20W CARBON LOG","","5","0","0,75000","3,75"
"26","5","PTV09A-4020F-B104-ND","PTV09A-4020F-B104","POT 100K OHM 1/20W CARBON LINEAR","","5","0","0,75000","3,75"
"27","5","CP-002A-ND","PJ-002A","CONN PWR JACK 2X5.5MM SOLDER","","5","0","0,54000","2,70"
"28","10","1276-6641-1-ND","CL31B106MOHNNNE","CAP CER 10UF 16V X7R 1206","","10","0","0,13900","1,39"